service_id,service_name,paper_name,material_name,shape_name,size_name,laminate_name,quantity,price
27,Bìa đựng hồ sơ,,,,Khác,,1,1
28,Voucher,Ford 80,,,,,1,1
28,Voucher,Ford 180,,,,,1,1
28,Voucher,Ford 250,,,,,1,1
28,Voucher,Ford 300,,,,,1,1
28,Voucher,Couche 150,,,,,1,1
28,Voucher,Couche 200,,,,,1,1
28,Voucher,Couche 250,,,,,1,1
28,Voucher,Couche 300,,,,,1,1
28,Voucher,Canson 250,,,,,1,1
28,Voucher,Gân trắng 250,,,,,1,1
28,Voucher,Gân vàng 280,,,,,1,1
28,Voucher,Ivory 300,,,,,1,1
28,Voucher,Giấy ảnh 250,,,,,1,1
28,Voucher,Khác,,,,,1,1
28,Voucher,,,,A5,,1,1
28,Voucher,,,,A4,,1,1
28,Voucher,,,,A3,,1,1
28,Voucher,,,,A2,,1,1
28,Voucher,,,,A1,,1,1
28,Voucher,,,,A0,,1,1
28,Voucher,,,,Khác,,1,1
29,Poster,Ford 80,,,,,1,1
29,Poster,Ford 180,,,,,1,1
29,Poster,Ford 250,,,,,1,1
29,Poster,Ford 300,,,,,1,1
29,Poster,Couche 150,,,,,1,1
29,Poster,Couche 200,,,,,1,1
29,Poster,Couche 250,,,,,1,1
29,Poster,Couche 300,,,,,1,1
29,Poster,Canson 250,,,,,1,1
29,Poster,Gân trắng 250,,,,,1,1
29,Poster,Gân vàng 280,,,,,1,1
29,Poster,Ivory 300,,,,,1,1
29,Poster,Giấy ảnh 250,,,,,1,1
29,Poster,Khác,,,,,1,1
29,Poster,,PP ngoài trời,,,,1,1
29,Poster,,PP trong nhà,,,,1,1
29,Poster,,Hiflex,,,,1,1
29,Poster,,Decal trong,,,,1,1
29,Poster,,Decal giấy,,,,1,1
29,Poster,,Decal nhựa,,,,1,1
29,Poster,,Khác,,,,1,1
29,Poster,,,,A5,,1,1
29,Poster,,,,A4,,1,1
29,Poster,,,,A3,,1,1
29,Poster,,,,A2,,1,1
29,Poster,,,,A1,,1,1
29,Poster,,,,A0,,1,1
29,Poster,,,,Khác,,1,1
30,Standee,,PP ngoài trời,,,,1,1
30,Standee,,PP trong nhà,,,,1,1
30,Standee,,Hiflex,,,,1,1
30,Standee,,Decal trong,,,,1,1
30,Standee,,Decal giấy,,,,1,1
30,Standee,,Decal nhựa,,,,1,1
30,Standee,,Khác,,,,1,1
31,Tờ rơi,Ford 80,,,,,1,1
31,Tờ rơi,Ford 180,,,,,1,1
31,Tờ rơi,Ford 250,,,,,1,1
31,Tờ rơi,Ford 300,,,,,1,1
31,Tờ rơi,Couche 150,,,,,1,1
31,Tờ rơi,Couche 200,,,,,1,1
31,Tờ rơi,Couche 250,,,,,1,1
31,Tờ rơi,Couche 300,,,,,1,1
31,Tờ rơi,Canson 250,,,,,1,1
31,Tờ rơi,Gân trắng 250,,,,,1,1
31,Tờ rơi,Gân vàng 280,,,,,1,1
31,Tờ rơi,Ivory 300,,,,,1,1
31,Tờ rơi,Giấy ảnh 250,,,,,1,1
31,Tờ rơi,Khác,,,,,1,1
31,Tờ rơi,,,,A5,,1,1
31,Tờ rơi,,,,A4,,1,1
31,Tờ rơi,,,,A3,,1,1
31,Tờ rơi,,,,A2,,1,1
31,Tờ rơi,,,,A1,,1,1
31,Tờ rơi,,,,A0,,1,1
31,Tờ rơi,,,,Khác,,1,1
32,Tờ gấp,Ford 80,,,,,1,1
32,Tờ gấp,Ford 180,,,,,1,1
32,Tờ gấp,Ford 250,,,,,1,1
32,Tờ gấp,Ford 300,,,,,1,1
32,Tờ gấp,Couche 150,,,,,1,1
32,Tờ gấp,Couche 200,,,,,1,1
32,Tờ gấp,Couche 250,,,,,1,1
32,Tờ gấp,Couche 300,,,,,1,1
32,Tờ gấp,Canson 250,,,,,1,1
32,Tờ gấp,Gân trắng 250,,,,,1,1
32,Tờ gấp,Gân vàng 280,,,,,1,1
32,Tờ gấp,Ivory 300,,,,,1,1
32,Tờ gấp,Giấy ảnh 250,,,,,1,1
32,Tờ gấp,Khác,,,,,1,1
32,Tờ gấp,,,,A5,,1,1
